OBJECTID,SRA,HAZ_CODE,HAZ_CLASS,INCORP,VH_REC,ShapeSTAre,ShapeSTLen
"970",SRA,"2",High,,,"1985667.899954929947853","8069.730224332626676"
"971",SRA,"2",High,,,"168479220.102578252553940","142213.935462876805104"
"972",SRA,"2",High,,,"84899559.990974307060242","73024.081877946591703"
"973",SRA,"2",High,,,"41984.811120247984945","1529.663283277814799"
"974",SRA,"2",High,,,"2609337.083157572429627","21182.519198155408958"
"975",SRA,"2",High,,,"15662446.117277115583420","79715.779720854538027"
"976",SRA,"2",High,,,"29385557.695446997880936","70226.000535562547157"
"977",SRA,"2",High,,,"2954256.949590778909624","25193.113623956636729"
"978",SRA,"2",High,,,"1075152.241288924589753","6299.137939806069880"
"979",SRA,"2",High,,,"2547417.933688275050372","19291.821321159579384"
"980",SRA,"2",High,,,"1036401.342684835195541","5117.931606908381582"
"981",SRA,"2",High,,,"4511774.514200851321220","14473.122895374475775"
"982",SRA,"2",High,,,"1268862.107055183732882","9844.985072830504578"
"983",SRA,"2",High,,,"19283.456175133771467","2434.500148190719301"
"984",SRA,"2",High,,,"38011839.918128766119480","56270.298526434446103"
"985",SRA,"2",High,,,"3.785043185106821","9.457943918175827"
"986",SRA,"2",High,,,"528145006.095285236835480","354888.375554268423002"
"987",SRA,"1",Moderate,,,"5259.394204692286621","310.003360142175268"
"988",SRA,"1",Moderate,,,"182053.146014911966631","2114.794327248553145"
"989",SRA,"1",Moderate,,,"2276340.186978632118553","10530.790194372133556"
"990",SRA,"1",Moderate,,,"34958.370894970787049","1423.426947908270449"
"991",SRA,"1",Moderate,,,"50233.471139914050582","1456.108311068795501"
"992",SRA,"1",Moderate,,,"5492.683928650099915","323.218804690174466"
"993",SRA,"1",Moderate,,,"5694333.114956333301961","15124.066269185270357"
"994",SRA,"1",Moderate,,,"3226970.441392782144248","10704.043430897065264"
"995",SRA,"1",Moderate,,,"14407.133729992612643","555.722138124234107"
"996",SRA,"1",Moderate,,,"5711612.687440954148769","17047.745714456053975"
"997",SRA,"1",Moderate,,,"440.604753142897721","130.851698532339611"
"998",SRA,"1",Moderate,,,"107978.490540777915157","1987.899616891112373"
"999",SRA,"1",Moderate,,,"1453823.142865462461486","7472.203639642906637"
"1000",SRA,"1",Moderate,,,"129422.428142315198784","1833.685021328639777"
"1001",SRA,"1",Moderate,,,"15837080.425160398706794","25195.545136017917685"
"1002",SRA,"1",Moderate,,,"132466.345546093216399","2529.297157154485376"
"1003",SRA,"1",Moderate,,,"349507.679222194710746","3407.803184666691777"
"1004",SRA,"1",Moderate,,,"12536358.624265916645527","26981.944578117276251"
