OBJECTID,Water System ID,sabl_pwsid,Boundary Type,System Name,SAFER Status,CVA Drought Risk,Funding Since 2017,County,Regulating Agency,Water Quality Risk Level,Accessibility Risk Level,Affordability Risk Level,TMF Capacity Risk Level,latitude,longitude,Service Connections,Population,Shape__Area,Shape__Length,Last Updated
142,CA1910117,CA1910117,Water Service Area,SAN GABRIEL VALLEY WATER CO-MONTEBELLO 2,Not At-Risk,Low,0,LOS ANGELES,DISTRICT 22 - ANGELES,None,0,Low,Low,33.990368,-118.131955,1524,7330,3377832.254,13928.80604,11/14/2025
144,CA1910125,CA1910125,Water Service Area,PICO WD,Not At-Risk,Low,0,LOS ANGELES,DISTRICT 07 - HOLLYWOOD,Medium,0,Low,None,34.002025,-118.075113,5361,22051,8544502.438,33182.3357,11/14/2025
146,CA1910127,CA1910127,Water Service Area,"COVINA-CITY, WATER DEPT.",Not At-Risk,Low,0,LOS ANGELES,DISTRICT 07 - HOLLYWOOD,None,0,Low,None,34.084785,-117.879552,8617,33300,19258415.4,44732.2168,11/14/2025
148,CA1910130,CA1910130,Water Service Area,QUARTZ HILL WATER DIST.,Not At-Risk,Low,0,LOS ANGELES,DISTRICT 16 - CENTRAL,Low,0,None,Low,34.638322,-118.187684,5850,19100,29029944.61,63568.28237,11/14/2025
149,CA1910134,CA1910134,Water Service Area,CALIFORNIA WATER SERVICE CO. - HERM/REDO,Not At-Risk,Low,0,LOS ANGELES,DISTRICT 22 - ANGELES,None,0,None,None,33.857551,-118.396644,26845,96853,32797831.97,42351.22058,11/14/2025
150,CA1910139,CA1910139,Water Service Area,CAL/AM WATER COMPANY - SAN MARINO,Not At-Risk,Low,0,LOS ANGELES,DISTRICT 07 - HOLLYWOOD,High,0,None,None,34.11906,-118.110571,14544,47995,32520018.33,57230.06899,11/14/2025
151,CA1910140,CA1910140,Water Service Area,RUBIO CANON LAND & WATER ASSOCIATION,At-Risk,High,0,LOS ANGELES,DISTRICT 16 - CENTRAL,None,0.75,None,Low,34.189196,-118.127491,3158,9215,7877124.492,20693.37621,11/14/2025
152,CA1910142,CA1910142,Water Service Area,GSWC-SAN DIMAS,Not At-Risk,Low,0,LOS ANGELES,DISTRICT 07 - HOLLYWOOD,Low,0,None,None,34.097809,-117.823867,16163,56538,51731470.12,59201.07786,11/14/2025
153,CA1910143,CA1910143,Water Service Area,"SAN FERNANDO-CITY, WATER DEPT.",Potentially At-Risk,Medium,7000000,LOS ANGELES,DISTRICT 16 - CENTRAL,Low,0,Medium,Low,34.288636,-118.43629,5400,23946,9140660.391,13519.59566,11/14/2025
154,CA1910144,CA1910144,Water Service Area,SAN GABRIEL COUNTY WD,Not At-Risk,Low,0,LOS ANGELES,DISTRICT 07 - HOLLYWOOD,None,0,Low,Low,34.09222,-118.094184,9693,39345,15339802.61,31542.5341,11/14/2025
155,CA1910146,CA1910146,Water Service Area,"SANTA MONICA-CITY, WATER DIVISION",Not At-Risk,Low,0,LOS ANGELES,DISTRICT 16 - CENTRAL,Low,0,Low,Low,34.023426,-118.481562,16884,89947,31877400.17,24462.7951,11/14/2025
156,CA1910147,CA1910147,Water Service Area,SUBURBAN WATER SYSTEMS - SATIVA,Potentially At-Risk,Medium,1835178,LOS ANGELES,DISTRICT 22 - ANGELES,Medium,0,Medium,Low,33.910227,-118.231594,1322,4363,1063343.02,4980.656024,11/14/2025
157,CA1910148,CA1910148,Water Service Area,"SIERRA MADRE-CITY, WATER DEPT.",Not At-Risk,Low,0,LOS ANGELES,DISTRICT 07 - HOLLYWOOD,None,0,None,Low,34.168715,-118.050293,3656,11000,11160132.94,14758.42964,11/14/2025
158,CA1910149,CA1910149,Water Service Area,"SIGNAL HILL - CITY, WATER DEPT.",Failing,High,0,LOS ANGELES,DISTRICT 07 - HOLLYWOOD,Medium,0,Medium,None,33.802868,-118.168065,3035,11848,8268795.547,20449.50275,11/14/2025
159,CA1910152,CA1910152,Water Service Area,"SOUTH GATE-CITY, WATER DEPT.",Potentially At-Risk,Medium,0,LOS ANGELES,DISTRICT 22 - ANGELES,Medium,0,Medium,Low,33.948442,-118.197953,14442,76443,25190938.32,29916.24991,11/14/2025
160,CA1910153,CA1910153,Water Service Area,SOUTH MONTEBELLO IRRIGATION DIST.,At-Risk,High,0,LOS ANGELES,DISTRICT 22 - ANGELES,High,0,Medium,Low,33.995963,-118.118253,2351,15021,5561628.668,10834.91759,11/14/2025
161,CA1910154,CA1910154,Water Service Area,CITY OF SOUTH PASADENA,Not At-Risk,Low,11937930,LOS ANGELES,DISTRICT 16 - CENTRAL,High,0,None,None,34.110229,-118.157171,6147,25329,12981568.68,16591.04213,11/14/2025
163,CA1910156,CA1910156,Water Service Area,"BEVERLY HILLS-CITY, WATER DEPT.",Not At-Risk,Low,0,LOS ANGELES,DISTRICT 22 - ANGELES,None,0,None,Medium,34.079026,-118.400311,10258,40121,24067402.77,38389.79823,11/14/2025
164,CA1910157,CA1910157,Water Service Area,SUNNY SLOPE WATER CO.,Potentially At-Risk,Medium,0,LOS ANGELES,DISTRICT 15 - METROPOLITAN,High,0.13,Low,None,34.113051,-118.07562,6314,25252,11680023.84,22076.49019,11/14/2025
165,CA1910158,CA1910158,Water Service Area,STERLING MUTUAL WATER COMPANY,At-Risk,High,0,LOS ANGELES,DISTRICT 22 - ANGELES,Medium,0.07,High,Low,34.078928,-118.012803,199,198,272477.5352,3036.797583,11/14/2025
166,CA1910159,CA1910159,Water Service Area,TRACT 180 MUTUAL WATER CO.,Not At-Risk,Low,0,LOS ANGELES,DISTRICT 07 - HOLLYWOOD,Medium,0,Medium,None,33.963308,-118.179542,1190,14000,2764024.988,7034.504623,11/14/2025
167,CA1910160,CA1910160,Water Service Area,TRACT 349 MUTUAL WATER CO.,Failing,High,3399231,LOS ANGELES,DISTRICT 07 - HOLLYWOOD,High,0,Medium,Low,33.965368,-118.191832,949,8700,1823023.328,6723.962382,11/14/2025
168,CA1910161,CA1910161,Water Service Area,LIBERTY UTILITIES - LYNWOOD,At-Risk,High,0,LOS ANGELES,DISTRICT 22 - ANGELES,None,0.37,Medium,Medium,33.900094,-118.19401,4414,24701,5484130.969,19285.59039,11/14/2025
169,CA1910163,CA1910163,Water Service Area,VALENCIA HEIGHTS WATER CO.,Not At-Risk,Low,1939868,LOS ANGELES,DISTRICT 16 - CENTRAL,Low,0,None,None,34.06,-117.868005,1684,7775,10569785.21,22809.23923,11/14/2025
170,CA1910165,CA1910165,Water Service Area,VALLEY VIEW MUTUAL WATER CO.,Not At-Risk,Low,0,LOS ANGELES,DISTRICT 07 - HOLLYWOOD,None,0,Low,Low,34.088491,-117.977688,1398,4613,1886754.195,7750.052601,11/14/2025
171,CA1910166,CA1910166,Water Service Area,VALLEY WATER CO.,Potentially At-Risk,Medium,0,LOS ANGELES,DISTRICT 15 - METROPOLITAN,High,0,None,Low,34.195339,-118.195835,3611,10070,14447076.11,24628.25204,11/14/2025
172,CA1910167,CA1910167,Water Service Area,"VERNON-CITY, WATER DEPT.",Not At-Risk,Low,0,LOS ANGELES,DISTRICT 15 - METROPOLITAN,None,0,Low,None,34.003101,-118.213668,1215,28112,16118747.3,25688.97893,11/14/2025
173,CA1910169,CA1910169,Water Service Area,WALNUT PARK MUTUAL WATER CO.,Not At-Risk,Low,3263449,LOS ANGELES,DISTRICT 07 - HOLLYWOOD,None,0,High,Low,33.969054,-118.219878,2832,16180,2949454.371,9602.570596,11/14/2025
174,CA1910173,CA1910173,Water Service Area,"WHITTIER-CITY, WATER DEPT.",Not At-Risk,Low,0,LOS ANGELES,DISTRICT 07 - HOLLYWOOD,Medium,0,Low,None,33.982515,-118.038069,12037,49954,25140590.13,40737.37969,11/14/2025
175,CA1910174,CA1910174,Water Service Area,SUBURBAN WATER SYSTEMS-WHITTIER,Not At-Risk,Low,0,LOS ANGELES,DISTRICT 07 - HOLLYWOOD,Medium,0,None,Low,33.946617,-118.008692,18072,66045,34639275.69,59332.89365,11/14/2025
177,CA1910185,CA1910185,Water Service Area,LOS ANGELES CWWD 36-VAL VERDE,Not At-Risk,Low,3750000,LOS ANGELES,DISTRICT 16 - CENTRAL,None,0,None,None,34.466437,-118.664797,1619,6376,44170036.62,44100.9049,11/14/2025
178,CA1910186,CA1910186,Water Service Area,CAL-AM WATER COMPANY - DUARTE,Not At-Risk,Low,0,LOS ANGELES,DISTRICT 07 - HOLLYWOOD,Low,0,None,None,34.13466,-117.963438,7507,24773,38387500.45,32014.92222,11/14/2025
179,CA1910189,CA1910189,Water Service Area,SAN GABRIEL VALLEY WATER CO-MONTEBELLO 1,Not At-Risk,Low,0,LOS ANGELES,DISTRICT 22 - ANGELES,None,0,None,Low,34.026764,-118.088198,1623,9630,7679203.047,23823.45033,11/14/2025
180,CA1910191,CA1910191,Water Service Area,"NORWALK - CITY, WATER DEPT.",Not At-Risk,Low,0,LOS ANGELES,DISTRICT 15 - METROPOLITAN,None,0,Low,None,33.904739,-118.074513,5401,20283,5507015.137,26329.44435,11/14/2025
181,CA1910194,CA1910194,Water Service Area,ROWLAND WATER DISTRICT,Not At-Risk,Low,0,LOS ANGELES,DISTRICT 22 - ANGELES,None,0,None,None,33.979672,-117.90811,13546,54660,58384690.34,43479.77067,11/14/2025
182,CA1910195,CA1910195,Water Service Area,GSWC - HOLLYDALE,Not At-Risk,Low,0,LOS ANGELES,DISTRICT 15 - METROPOLITAN,None,0,Low,None,33.917021,-118.165159,1675,8099,2353415.641,9637.010526,11/14/2025
184,CA1910200,CA1910200,Water Service Area,SUBURBAN WATER SYSTEMS-COVINA KNOLLS,Not At-Risk,Low,0,LOS ANGELES,DISTRICT 07 - HOLLYWOOD,None,0,None,None,34.078546,-117.854945,495,1437,2155696.832,13516.44263,11/14/2025
185,CA1910203,CA1910203,Water Service Area,"LOS ANGELES CWWD 40, R 24,27,33-PEARBLSM",Not At-Risk,Low,0,LOS ANGELES,DISTRICT 16 - CENTRAL,None,0,Medium,Low,34.513844,-117.910502,3001,11509,55933162.57,50047.13344,11/14/2025
186,CA1910204,CA1910204,Water Service Area,LOS ANGELES CWWD 29 & 80-MALIBU,Not At-Risk,Low,0,LOS ANGELES,DISTRICT 16 - CENTRAL,None,0,None,Low,33.977239,-118.450377,8087,32348,173990693.3,126626.8482,11/14/2025
188,CA1910211,CA1910211,Water Service Area,LIBERTY UTILITIES - BELLFLOWER-NORWALK,Potentially At-Risk,Medium,0,LOS ANGELES,DISTRICT 22 - ANGELES,Medium,0,Low,Medium,33.901461,-118.095928,16475,72624,24404958.66,67890.59012,11/14/2025
189,CA1910212,CA1910212,Water Service Area,GSWC-SOUTH ARCADIA,Not At-Risk,Low,0,LOS ANGELES,DISTRICT 07 - HOLLYWOOD,Low,0,Low,None,34.099478,-118.031798,7666,27072,12060829.05,40182.33537,11/14/2025
191,CA1910218,CA1910218,Water Service Area,LA HABRA HEIGHTS CWD,Not At-Risk,Low,0,LOS ANGELES,DISTRICT 07 - HOLLYWOOD,Medium,0,Low,None,33.959935,-117.951282,2000,5325,23339174.35,24569.25769,11/14/2025
192,CA1910223,CA1910223,Water Service Area,GSWC-SOUTH SAN GABRIEL,At-Risk,High,0,LOS ANGELES,DISTRICT 07 - HOLLYWOOD,High,0,Medium,None,34.062168,-118.098794,5047,26240,7410835.578,15225.6571,11/14/2025
193,CA1910225,CA1910225,Water Service Area,LAS VIRGENES MWD,Not At-Risk,Low,0,LOS ANGELES,DISTRICT 07 - HOLLYWOOD,None,0,None,None,34.101997,-118.758622,20225,72602,467570420.7,158375.8889,11/14/2025
195,CA1910239,CA1910239,Water Service Area,"LAKEWOOD - CITY, WATER DEPT.",Not At-Risk,Low,0,LOS ANGELES,DISTRICT 15 - METROPOLITAN,Medium,0,None,Low,33.858036,-118.130502,20041,66135,29042190.41,34171.62667,11/14/2025
197,CA1910241,CA1910241,Water Service Area,LIBERTY UTILITIES - MESA CREST,At-Risk,High,0,LOS ANGELES,DISTRICT 16 - CENTRAL,None,0.67,None,Medium,34.211271,-118.181735,702,1619,2532468.023,12156.80727,11/14/2025
198,CA1910242,CA1910242,Water Service Area,CALIFORNIA WATER SERVICE CO-LAKE HUGHES,Potentially At-Risk,Medium,0,LOS ANGELES,DISTRICT 22 - ANGELES,High,0.13,None,None,34.675749,-118.446988,214,929,2680294.762,10780.35769,11/14/2025
199,CA1910243,CA1910243,Water Service Area,CALIFORNIA WATER SERVICE CO-LEONA VALLEY,At-Risk,High,0,LOS ANGELES,DISTRICT 22 - ANGELES,High,0,None,None,34.615552,-118.300704,430,878,15417983.06,20436.85016,11/14/2025
200,CA1910244,CA1910244,Water Service Area,GREEN VALLEY CWD,Potentially At-Risk,Medium,0,LOS ANGELES,DISTRICT 15 - METROPOLITAN,High,0.1,Low,None,34.616284,-118.401204,499,1275,2232731.277,15847.70612,11/14/2025
201,CA1910245,CA1910245,Water Service Area,"SANTA FE SPRINGS - CITY, WATER DEPT.",Not At-Risk,Low,0,LOS ANGELES,DISTRICT 22 - ANGELES,None,0,Low,Low,33.94572,-118.074507,6165,19219,34185965.72,60882.92233,11/14/2025
202,CA1910246,CA1910246,Water Service Area,LAND PROJECTS MUTUAL WATER CO.,Failing,High,0,LOS ANGELES,DISTRICT 07 - HOLLYWOOD,High,0.09,None,Low,34.759119,-118.283203,548,2800,10342794.97,16185.16177,11/14/2025
204,CA1910248,CA1910248,Water Service Area,LOS ANGELES CWWD 37-ACTON,Not At-Risk,Low,0,LOS ANGELES,DISTRICT 16 - CENTRAL,Low,0,Low,Low,34.482323,-118.181331,1446,4805,75449905.04,88270.45767,11/14/2025
205,CA1910249,CA1910249,Water Service Area,WHITE FENCE FARMS MWC NO. 1,Not At-Risk,Low,0,LOS ANGELES,DISTRICT 22 - ANGELES,Low,0,None,None,34.631063,-118.17465,460,1518,11864148.99,19815.39248,11/14/2025
208,CA1910801,CA1910801,Water Service Area,FENNER CANYON YOUTH CONSERVATION CAMP,At-Risk,High,0,LOS ANGELES,DISTRICT 15 - METROPOLITAN,None,0.6,Low,Medium,34.390256,-117.770683,1,65,208099.4766,2735.652241,11/14/2025
