x,y,value
-13165144.1569,4046485.075,65535
-13160104.1569,4062745.075,65535
-13169284.1569,4055605.075,65535
-13164484.1569,4052605.075,154
-13169314.1569,4055545.075,65535
-13166194.1569,4060555.075,65535
-13157014.1569,4046515.075,65535
-13162024.1569,4058875.075,65535
-13161604.1569,4060885.075,65535
-13164514.1569,4051735.075,154
-13167214.1569,4058245.075,36038
-13161124.1569,4055305.075,154
-13169674.1569,4052155.075,65535
-13161214.1569,4046965.075,65535
-13161934.1569,4061455.075,65535
-13157824.1569,4059895.075,65535
-13155934.1569,4057825.075,65535
-13162084.1569,4048885.075,154
-13165684.1569,4050715.075,154
-13164544.1569,4057285.075,36011
-13168234.1569,4045435.075,65535
-13168054.1569,4062505.075,65535
-13161934.1569,4048915.075,154
-13167394.1569,4052635.075,154
-13161574.1569,4055905.075,154
-13166314.1569,4058005.075,36038
-13164334.1569,4056235.075,36038
-13168684.1569,4046725.075,65535
-13165924.1569,4059685.075,65535
-13168234.1569,4051225.075,154
-13166254.1569,4048585.075,65535
-13162834.1569,4064695.075,37682
-13168054.1569,4055125.075,65535
-13157944.1569,4046455.075,65535
-13160314.1569,4049665.075,35988
-13168864.1569,4053025.075,65535
-13158394.1569,4051225.075,36020
-13166824.1569,4057135.075,36038
-13163374.1569,4048225.075,154
-13158364.1569,4061605.075,65535
-13165534.1569,4061755.075,65535
-13162624.1569,4058245.075,65535
-13162984.1569,4049095.075,154
-13167184.1569,4057105.075,36038
-13163314.1569,4055065.075,36038
-13158634.1569,4061155.075,65535
-13156144.1569,4057435.075,65535
-13157404.1569,4052545.075,154
-13155994.1569,4064245.075,65535
-13160524.1569,4049725.075,154
-13158454.1569,4056085.075,65535
-13163314.1569,4053505.075,36038
-13162474.1569,4053415.075,35988
-13162294.1569,4051045.075,154
-13160074.1569,4060765.075,65535
-13157284.1569,4058935.075,65535
-13156174.1569,4059955.075,65535
-13165504.1569,4049125.075,154
-13165324.1569,4051735.075,154
-13156234.1569,4059805.075,65535
-13160794.1569,4045075.075,65535
-13158064.1569,4048975.075,65535
-13166284.1569,4055365.075,36038
-13157584.1569,4061875.075,65535
-13166584.1569,4051675.075,154
-13166104.1569,4062865.075,65535
-13167514.1569,4044865.075,65535
-13166584.1569,4053955.075,36038
-13157614.1569,4062745.075,65535
-13167634.1569,4051375.075,154
-13162594.1569,4051855.075,154
-13164484.1569,4049995.075,154
-13159714.1569,4047175.075,65535
-13168084.1569,4058845.075,65535
-13168024.1569,4058095.075,65535
-13158724.1569,4048915.075,154
-13162504.1569,4058125.075,65535
-13164454.1569,4055695.075,36038
-13162414.1569,4045345.075,65535
-13165384.1569,4062385.075,154
-13167274.1569,4046905.075,65535
-13165474.1569,4055125.075,36038
-13160194.1569,4049515.075,36038
-13158874.1569,4063555.075,65535
-13166794.1569,4049755.075,154
-13163224.1569,4059325.075,65535
-13159804.1569,4054795.075,36038
-13158424.1569,4059085.075,65535
-13167424.1569,4061425.075,65535
-13164724.1569,4062715.075,37682
-13163914.1569,4058485.075,36026
-13167844.1569,4055215.075,65535
-13156234.1569,4060525.075,65535
-13158724.1569,4053355.075,154
-13166824.1569,4052575.075,154
