x,y,value
-13158658.270050569,4048543.3445577673,-9999.0
-13166920.355542127,4057669.192781639,232.85652
-13158943.563057873,4056083.576652741,-9999.0
-13158886.504456412,4062163.673031896,-9999.0
-13159628.266275406,4059859.396355368,-9999.0
-13163839.19106323,4051554.874471645,75.97973
-13161545.435284497,4048383.6422138494,211.83112
-13161659.55248742,4054908.623693918,54.603165
-13165026.009973621,4055273.6576228724,191.76724
-13159970.617884172,4047288.5404269844,-9999.0
-13161225.907116314,4063658.030678555,-9999.0
-13169750.462174594,4051292.5063352087,-9999.0
-13167856.116606088,4056402.981340577,-9999.0
-13159342.973268101,4062140.8584113363,-9999.0
-13160096.146807387,4051600.503712764,21.771059
-13162013.315816477,4050300.0703408625,261.12827
-13169236.934761444,4063315.8113701595,-9999.0
-13165824.830394074,4056984.7541648485,338.02454
-13155919.457180439,4055593.062310708,-9999.0
-13164101.660629952,4053676.634183695,247.24716
-13156204.750187743,4048098.459456853,-9999.0
-13164774.952127192,4064456.5423981436,-9999.0
-13167262.707150893,4056710.9787181322,-9999.0
-13164911.892770698,4059038.07001522,21.396027
-13167376.824353814,4051326.728266048,161.08885
-13156033.574383361,4053790.7072864934,-9999.0
-13166463.886730438,4053471.302598658,279.468
-13165824.830394074,4061239.680899229,-9999.0
-13159457.090471024,4058387.8533292687,-9999.0
-13156478.631474758,4062266.3388244146,-9999.0
-13159902.14756242,4049820.963309109,277.9655
-13156512.866635634,4049980.6656530267,285.69824
-13162013.315816477,4064730.31784486,-9999.0
-13163679.42697914,4059551.3989778124,204.06337
-13159959.20616388,4054977.0675555966,323.23944
-13162036.139257062,4053790.7072864934,213.82063
-13156501.454915341,4053585.3757014563,-9999.0
-13156296.04395008,4048246.754490491,-9999.0
-13163439.780853003,4054509.3678341233,37.711094
-13166144.358562257,4062585.74351225,-9999.0
-13165630.831149107,4064718.9105345802,-9999.0
-13163143.076125406,4059448.733185294,-9999.0
-13160392.851534985,4048303.7910418906,-9999.0
-13157517.098021347,4063464.106403798,-9999.0
-13167787.646284334,4047014.7649802687,-9999.0
-13156353.102551542,4056448.610581696,-9999.0
-13163040.370642776,4064045.8792280694,246.52441
-13164854.834169237,4058171.114433952,103.73087
-13159673.913156575,4058285.1875367505,-9999.0
-13162036.139257062,4051486.4306099657,73.523224
-13161180.260235146,4054486.5532135637,194.79332
-13169316.81680349,4054566.4043855225,-9999.0
-13156421.572873296,4050813.3993034554,99.43739
-13165653.654589692,4050744.955441776,226.68315
-13156296.04395008,4061182.6443478297,-9999.0
-13161853.551732387,4054999.8821761566,37.47611
-13164466.835679302,4054178.555836008,335.1116
-13166167.18200284,4046866.4699466308,-9999.0
-13155965.104061607,4052855.3078435464,-9999.0
-13157596.980063394,4051942.7230211594,205.47017
-13163302.840209497,4046227.6605709596,295.8315
-13158875.092736121,4054110.1119743288,196.5077
-13168654.937026542,4052980.7882566247,-9999.0
-13169008.7003556,4055923.8743088236,-9999.0
-13166772.003178328,4051680.354884723,188.00229
-13169293.993362905,4062003.970687978,-9999.0
-13159103.327141965,4050779.177372616,113.685165
-13160826.496906089,4045269.446507453,-9999.0
-13159890.735842127,4046124.994778441,-9999.0
-13157277.45189521,4045155.3734046547,-9999.0
-13162424.137746997,4061855.67565434,-9999.0
-13161956.257215016,4060224.430284323,-9999.0
-13163086.017523944,4049809.555998829,228.26936
-13165299.891260633,4055273.6576228724,336.7659
-13157870.861350406,4050083.3314455454,165.02538
-13160312.969492938,4050824.806613735,159.31085
-13165824.830394074,4053961.816940691,288.73627
-13157711.097266315,4056140.61320414,-9999.0
-13161636.729046835,4061638.9367590235,-9999.0
-13160506.968737906,4051406.579438007,274.34222
-13168963.053474432,4048646.0103502856,-9999.0
-13156729.689321186,4054920.0310041974,-9999.0
-13167148.58994797,4045919.6631934037,-9999.0
-13168654.937026542,4063418.4771626783,-9999.0
-13161933.433774432,4049227.7831745576,48.11917
-13167125.766507387,4053881.965768732,221.87256
-13166783.41489862,4046558.472569075,-9999.0
-13165003.186533036,4059106.5138768987,91.7946
-13159685.324876867,4055364.916105111,-9999.0
-13163964.719986444,4047071.801531668,184.58224
-13156432.984593589,4050060.516824986,229.75914
-13162823.547957225,4058456.297190948,-9999.0
-13162332.84398466,4064068.693848629,236.14346
-13169282.581642613,4055091.1406583954,-9999.0
-13169761.873894887,4052786.8639818677,-9999.0
-13156010.750942776,4049113.710071759,303.39005
-13169716.227013718,4060600.8715235577,-9999.0
-13164523.894280763,4045121.151473815,-9999.0
-13163451.192573296,4049136.524692319,259.6011
-13169807.520776056,4054395.294731325,-9999.0
-13163964.719986444,4051885.6864697603,122.317795
-13166155.770282548,4049729.7048268705,337.1758
-13157745.332427192,4048269.569111051,-9999.0
-13162732.254194887,4061365.161312307,-9999.0
-13164535.306001056,4060532.427661879,150.5722
-13161123.201633686,4048349.4202830098,-9999.0
-13156079.22126453,4061353.754002027,-9999.0
-13157608.391783686,4063521.142955197,-9999.0
-13166772.003178328,4054007.4461818105,291.4103
-13167045.88446534,4046113.5874681612,-9999.0
-13157848.037909823,4060327.0960768415,-9999.0
-13164820.59900836,4053836.336527613,338.38382
-13164056.013748782,4050779.177372616,263.67883
-13169773.285615178,4063498.328334637,-9999.0
-13169545.051209334,4058285.1875367505,-9999.0
-13166167.18200284,4048908.378486722,253.83403
-13158144.74263742,4060543.8349721585,-9999.0
-13160518.380458198,4059927.8402170474,-9999.0
-13159000.621659335,4056961.939544289,-9999.0
-13160735.20314375,4045885.441262564,-9999.0
-13158578.388008524,4045931.0705036838,-9999.0
-13169636.344971672,4047379.798909223,-9999.0
-13165471.067065015,4049113.710071759,239.29198
-13158407.21220414,4061330.9393814676,-9999.0
-13159788.030359497,4061867.08296462,-9999.0
-13160084.735087095,4060669.315385237,-9999.0
-13164227.189553166,4060578.056902998,233.24448
-13159970.617884172,4064228.396192547,-9999.0
-13166908.943821834,4044801.7467859797,-9999.0
-13167856.116606088,4052935.1590155056,193.84767
-13157231.805014042,4059471.5478058537,-9999.0
-13167479.529836444,4059231.994289977,-9999.0
-13160609.674220536,4051429.3940585665,209.9571
-13159753.795198621,4064182.766951428,-9999.0
-13165140.127176542,4056665.349477013,69.50437
-13158692.505211445,4051737.3914361224,170.19139
-13164444.012238719,4056505.647133095,303.54105
-13168495.172942452,4046227.6605709596,-9999.0
-13158407.21220414,4050893.250475414,304.4441
-13167274.118871186,4049239.190484837,-9999.0
-13163941.89654586,4051965.537641719,254.45541
-13159879.324121835,4054018.85349209,36.0364
-13160438.498416154,4053437.0806678184,304.17938
-13163747.897300893,4048657.4176605656,210.0402
-13160815.085185796,4048725.8615222443,-9999.0
-13168278.3502569,4058547.5556731867,-9999.0
-13156626.983838556,4060270.0595254423,-9999.0
-13159491.3256319,4061753.009861822,-9999.0
